Venue ID,Venue Name,Address,City,State,Country,Artist,Date
KovZpZAJFAkA,Camping World Stadium,1 Citrus Bowl Place,Orlando,Florida,United States Of America,P!NK: Summer Carnival 2024,2024-11-18
KovZ917A-X0,Globe Life Field,734 Stadium Drive,Arlington,Texas,United States Of America,P!NK: Summer Carnival 2024,2024-11-06
KovZ917Atbr,Sphere,255 Sands Avenue,Las Vegas,Nevada,United States Of America,Eagles Live at Sphere,2025-01-18
KovZpZAdakJA,Lenovo Center,1400 Edwards Mill Road,Raleigh,North Carolina,United States Of America,P!NK Live 2024,2024-11-11
KovZ917ANwG,Moody Center ATX,2001 Robert Dedman Drive,Austin,Texas,United States Of America,P!NK Live 2024,2024-11-03
KovZpZAE7dtA,Colonial Life Arena,801 Lincoln St.,Columbia,South Carolina,United States Of America,P!NK Live 2024,2024-11-20
KovZpZAJIndA,BOK Center,200 S. Denver ,Tulsa,Oklahoma,United States Of America,P!NK Live 2024,2024-11-08
KovZpa2Xke,State Farm Arena,One State Farm Drive,Atlanta,Georgia,United States Of America,P!NK Live 2024,2024-11-14
KovZpZA6t76A,Legacy Arena at The BJCC ,1001 19th Street N,Birmingham,Alabama,United States Of America,P!NK Live 2024,2024-11-16
KovZpaKoXe,Fox Theater - Oakland,1807 Telegraph Ave,Oakland,California,United States Of America,THE THE,2024-11-07
KovZpZAF6vnA,The Venetian Theatre at The Venetian Resort,3355 S Las Vegas Blvd ,Las Vegas,Nevada,United States Of America,Imagine Dragons: Live in Las Vegas,2024-12-31
KovZpZAId1JA,loanDepot park,501 Marlins Way,Miami,Florida,United States Of America,P!NK: Summer Carnival 2024,2024-11-23
KovZpZA6AEaA,Hard Rock Live,1 Seminole Way,Hollywood,Florida,United States Of America,"Commodores, The Pointer Sisters and The Spinners",2024-11-15
KovZpZAJalEA,PH Live at Planet Hollywood,3667 S Las Vegas Blvd,Las Vegas,Nevada,United States Of America,SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,2024-11-29
KovZpa4tUe,Lynn Auditorium,3 City Hall Sq.,Lynn,Massachusetts,United States Of America,The Spinners - Evelyn Champagne King - Rose Royce,2024-11-09
KovZ917A-wx,Seminole Hard Rock Tampa Event Center,5223 N. Orient Road,Tampa,Florida,United States Of America,"Commodores, The Pointer Sisters and The Spinners",2024-11-14
KovZpZA1e7EA,Star Of The Desert Arena at Primm Valley Resorts,31700 S Las Vegas Blvd,Primm,Nevada,United States Of America,The Commodores and The Pointer Sisters with special guest The Spinners,2024-11-30
KovZpZAEAdJA,Bergen Performing Arts Center,30 N. Van Brunt Street,Englewood,New Jersey,United States Of America,"Soul Classics: The Spinners, The Delfonics, & The Legendary Blue Notes",2024-11-10
KovZpZAE6e6A,Premier Theater at Foxwoods Resort Casino,39 Norwich Westerly Road,Ledyard,Connecticut,United States Of America,The Isley Brothers with The Spinners,2025-01-25
ZFr9jZd7dv,Roseland Theater,6 NW 6th Avenue,Portland,Oregon,United States Of America,The The,2024-11-03
ZFr9jZekAA,Shrine Auditorium-CA,665 W. Jefferson Blvd.,Los Angeles,California,United States Of America,The The,2024-11-08
ZFr9jZA7Aa,Sunrise Theatre,210 S Depot Dr,Fort Pierce,Florida,United States Of America,The Spinners,2024-11-16
KovZpZAEl6JA,The Rose,245 East Green Street,Pasadena,California,United States Of America,The Spinners,2025-03-25
ZFr9jZdeea,Empire Polo Field,81800 Avenue 51,Indio,California,United States Of America,Coachella Weekend 1 3 Day Pass,2025-04-11
KovZ917AtFi,The Venue at Thunder Valley Casino Resort,1200 Athens Avenue,Lincoln,California,United States Of America,Lady A,2025-02-14
KovZpaoUze,Bryce Jordan Center,127 Bryce Jordan Center,University Park,Pennsylvania,United States Of America,Blake Shelton: Friends & Heroes 2025,2025-03-22
