Genre ID,Genre Name
KnvZfZ7vAAa,Casino/Gaming
KnvZfZ7vAA1,Comedy
KnvZfZ7vAAE,Community/Civic
KnvZfZ7v7lE,Community/Cultural
KnvZfZ7vAeE,Fairs & Festivals
KnvZfZ7vA1n,Family
KnvZfZ7vAAI,Food & Drink
KnvZfZ7vAAl,Health/Wellness
KnvZfZ7vAAJ,Hobby/Special Interest Expos
KnvZfZ7vAAt,Holiday
KnvZfZ7v7lI,Ice Shows
KnvZfZ7vAJe,Lecture/Seminar
KnvZfZ7vAAF,Multimedia
KnvZfZ7vAAn,Psychics/Mediums/Hypnotists
KnvZfZ7v7lt,Special Interest/Hobby
KnvZfZ7v7ll,Undefined
KnvZfZ7vAeI,Aquatics
KnvZfZ7vAet,Athletic Races
KnvZfZ7vAen,Badminton
KnvZfZ7vAel,Bandy
KnvZfZ7vAdv,Baseball
KnvZfZ7vAde,Basketball
KnvZfZ7vAdd,Biathlon
KnvZfZ7vAd7,Body Building
KnvZfZ7vAdA,Boxing
KnvZfZ7vAdk,Cricket
KnvZfZ7vAdF,Curling
KnvZfZ7vAda,Cycling
KnvZfZ7vAd1,Equestrian
KnvZfZ7vAJF,eSports
KnvZfZ7vAdJ,Extreme
KnvZfZ7vAJv,Field Hockey
KnvZfZ7vAJ7,Fitness
KnvZfZ7vA1l,Floorball
KnvZfZ7vAdE,Football
KnvZfZ7vAdt,Golf
KnvZfZ7vAdn,Gymnastics
KnvZfZ7vAdl,Handball
KnvZfZ7vAdI,Hockey
KnvZfZ7vA7v,Ice Skating
KnvZfZ7vA7e,Indoor Soccer
KnvZfZ7vA77,Lacrosse
KnvZfZ7vA7d,Martial Arts
KnvZfZ7vA7A,Miscellaneous
KnvZfZ7vA7k,Motorsports/Racing
KnvZfZ7vA76,Netball
KnvZfZ7vAea,Rodeo
KnvZfZ7vAJA,Roller Derby
KnvZfZ7vA7a,Roller Hockey
KnvZfZ7vA71,Rugby
KnvZfZ7vA7J,Ski Jumping
KnvZfZ7vAd6,Skiing
KnvZfZ7vA7E,Soccer
KnvZfZ7vAJd,Softball
KnvZfZ7vA7I,Squash
KnvZfZ7vA7t,Surfing
KnvZfZ7vA7n,Swimming
KnvZfZ7vA7l,Table Tennis
KnvZfZ7vAAv,Tennis
KnvZfZ7vAAe,Toros
KnvZfZ7vAAd,Track & Field
KnvZfZ7vAA7,Volleyball
KnvZfZ7vAAA,Waterpolo
KnvZfZ7vAAk,Wrestling
KnvZfZ7vAJ1,Ringuette
KnvZfZ7vAJJ,Padel
KnvZfZ7vAvv,Alternative
KnvZfZ7vAve,Ballads/Romantic
KnvZfZ7vAvd,Blues
KnvZfZ7vAvA,Chanson Francaise
KnvZfZ7vAvk,Children's Music
KnvZfZ7vAeJ,Classical
KnvZfZ7vAv6,Country
KnvZfZ7vAvF,Dance/Electronic
KnvZfZ7vAva,Folk
KnvZfZ7vAv1,Hip-Hop/Rap
KnvZfZ7vAvJ,Holiday
KnvZfZ7vAvE,Jazz
KnvZfZ7vAJ6,Latin
KnvZfZ7vAvI,Medieval/Renaissance
KnvZfZ7vAvt,Metal
KnvZfZ7vAvn,New Age
KnvZfZ7vAvl,Other
KnvZfZ7vAev,Pop
KnvZfZ7vAee,R&B
KnvZfZ7vAed,Reggae
KnvZfZ7vAe7,Religious
KnvZfZ7vAeA,Rock
KnvZfZ7vAe6,Undefined
KnvZfZ7vAeF,World
KnvZfZ7v7na,Children's Theatre
KnvZfZ7v7n1,Circus & Specialty Acts
KnvZfZ7v7nJ,Classical
KnvZfZ7vAe1,Comedy
KnvZfZ7v7nE,Cultural
KnvZfZ7v7nI,Dance
KnvZfZ7v7nt,Espectaculo
KnvZfZ7v7nn,Fashion
KnvZfZ7v7nl,Fine Art
KnvZfZ7v7lv,Magic & Illusion
KnvZfZ7v7le,Miscellaneous
KnvZfZ7v7ld,Miscellaneous Theatre
KnvZfZ7v7l7,Multimedia
KnvZfZ7v7lA,Music
KnvZfZ7v7lk,Opera
KnvZfZ7v7l6,Performance Art
KnvZfZ7v7lF,Puppetry
KnvZfZ7v7la,Spectacular
KnvZfZ7v7l1,Theatre
KnvZfZ7v7lJ,Variety
KnvZfZ7vAkI,Undefined
KnvZfZ7vAke,Action/Adventure
KnvZfZ7vAkd,Animation
KnvZfZ7vAk7,Arthouse
KnvZfZ7vAkA,Comedy
KnvZfZ7vAkk,Documentary
KnvZfZ7vAk6,Drama
KnvZfZ7vAkF,Family
KnvZfZ7vAk1,Foreign
KnvZfZ7vAJk,Horror
KnvZfZ7vAka,Miscellaneous
KnvZfZ7vAkJ,Music
KnvZfZ7vAJa,Science Fiction
KnvZfZ7vAkE,Urban
